epoch=290 loss_d=0.4828 loss_g=1.2687 d_real=0.6955 d_fake=0.2913
epoch=291 loss_d=0.5261 loss_g=1.3628 d_real=0.6817 d_fake=0.2806
epoch=292 loss_d=0.5113 loss_g=1.1889 d_real=0.6607 d_fake=0.3042
epoch=293 loss_d=0.4539 loss_g=1.3182 d_real=0.6895 d_fake=0.2525
epoch=294 loss_d=0.5022 loss_g=1.1504 d_real=0.7005 d_fake=0.3079
epoch=295 loss_d=0.5667 loss_g=1.3409 d_real=0.6355 d_fake=0.3083
epoch=296 loss_d=0.5852 loss_g=1.0581 d_real=0.6663 d_fake=0.3661
epoch=297 loss_d=0.4822 loss_g=1.3555 d_real=0.6656 d_fake=0.2818
epoch=298 loss_d=0.4880 loss_g=1.2885 d_real=0.6869 d_fake=0.3030
epoch=299 loss_d=0.4835 loss_g=1.3448 d_real=0.6986 d_fake=0.2802
epoch=300 loss_d=0.4980 loss_g=1.2961 d_real=0.6915 d_fake=0.2973
epoch=301 loss_d=0.5251 loss_g=1.1637 d_real=0.6702 d_fake=0.3189
epoch=302 loss_d=0.4986 loss_g=1.1993 d_real=0.6721 d_fake=0.2852
epoch=303 loss_d=0.5170 loss_g=1.1520 d_real=0.6731 d_fake=0.3327
epoch=304 loss_d=0.5362 loss_g=1.1559 d_real=0.6731 d_fake=0.3073
epoch=305 loss_d=0.5357 loss_g=1.2423 d_real=0.6600 d_fake=0.3151
epoch=306 loss_d=0.5411 loss_g=1.1923 d_real=0.6936 d_fake=0.3411
epoch=307 loss_d=0.5293 loss_g=1.2490 d_real=0.6598 d_fake=0.3043
epoch=308 loss_d=0.5561 loss_g=1.0277 d_real=0.6212 d_fake=0.3557
epoch=309 loss_d=0.5066 loss_g=1.1579 d_real=0.6636 d_fake=0.3248
epoch=310 loss_d=0.4942 loss_g=1.2502 d_real=0.6720 d_fake=0.2837
epoch=311 loss_d=0.5087 loss_g=1.2364 d_real=0.6947 d_fake=0.3201
